objectid_1	objectid	acreage	sqft	final_cat	type_	sector	origpkname	updatepknm	alterntnam	divname	shape_leng	globalid	created_user	created_date	last_edited_user	last_edited_date	maintenanceresponsibility	Shape__Area	Shape__Length	GlobalID_2
181	181	0.10828562	4716.921571	Neighborhood Park	NP	15	Tustin Tot Lot	Tustin Park	Tustin Park	Schenley	274.8088239	a5cbdc1d-502c-4d79-aa95-21d0699e578b	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Schenley	4.65E-08	0.000873371	0e063e3c-4de4-4eb4-b93f-6f1b23366d12
182	182	0.23543731	10255.64924	Beautification Site	BTF	10	Vietnam Island	Vietnam Island	Vietnam Island	Eastern	899.7178198	0b4033fe-1588-4f0d-a39e-8d4212910b61	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	3rd Division	1.01E-07	0.003160948	a2fe90cb-317b-4cdc-9e72-76436975021b
183	183	1.56467526	68157.25447	Neighborhood Park	NP	15	Vincennes Parklet	Vincennes Park	Vincennes Park	Schenley	1142.213995	ebb605cb-0ca0-468f-b0b2-73a22e461106	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Schenley	6.72E-07	0.003556632	7263ee84-9206-43e8-9ff4-054092fda774
184	184	10.75219193	468365.4806	Neighborhood Park	NP	5	Volunteers Field	Volunteers Park	Volunteers Park	Southern	5812.441974	febad663-68a9-4e76-ae18-ae4f8430cfae	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Southern	5.50E-06	0.021540367	254b87d1-df6f-4610-8a60-9a8ea5eb3595
185	185	2.43644988	106131.7567	Neighborhood Park	NP	4	Wabash Playground	Wabash Park	Wabash Park	Western	1676.460212	92eb8cf6-4bbf-4a30-8b50-91ffe4b4fdda	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	1.05E-06	0.004910254	afabd1e6-f7a9-42c7-baae-44efdf4f7d9c
186	186	2.12662063	92635.59455	Neighborhood Park	NP	6	Warrington Playground	Warrington Park	Warrington Park	Southern	1245.758223	bf852bdb-5458-44ff-ba0c-5c6b16e5ccd9	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Southern	9.13E-07	0.004081454	c7062ed7-1992-4ebb-92d2-99a78f29e8c1
188	188	4.68884721	204246.1846	Neighborhood Park	NP	4	West End Elliot Overlook Park	West End-Elliott Overlook Park	West End-Elliot Overlook Park	Western	4135.085025	db34d78e-3287-40aa-8754-89ff7af41c76	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.01E-06	0.013125782	7fcf5bbf-7d25-4e25-bf14-fc94ece32cd1
189	189	17.02503862	741610.6824	Community Park	CP	4	West End Park	West End Park	West End Park	Western	15318.78952	f1ba0266-6b8c-4555-a57a-4003e8adf767	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	7.31E-06	0.048869672	b72e1dac-9983-4e5f-aef7-25e36da33857
190	190	22.54130259	981899.1406	Community Park	CP	13	West Penn Park	West Penn Park	West Penn Park	State	4544.06311	a0481df3-0fb0-4913-8d63-74cf6358656b	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northeast	9.69E-06	0.015004763	9d91d47e-a683-4722-b8d7-4e61fea05011
191	191	10.83159086	471824.0977	Neighborhood Park	NP	11	Westinghouse Park	Westinghouse Park	Westinghouse Park	Eastern	2747.688904	e473b3f9-3e8a-49cb-8523-ef32365cdd25	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Eastern	4.65E-06	0.00880771	95d97d48-d005-417c-accb-63ea1e3172e5
192	192	0.01302079	567.1834764	Beautification Site	BTF	4	Westwood Island	Westwood Island	Westwood Island	Western	93.1245652	82bd048c-8ac4-45af-991b-72228f39bd32	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	5th Division	5.59E-09	0.000292958	e52182cd-f509-4a3a-bfba-418564eb7c7b
193	193	3.42802024	149324.5617	Public School	SCH	4	Westwood School	Westwood School	Westwood School	Western	1572.776849	843e43a8-79ed-42c4-975b-9791c5161212	pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	1.31E-06	0.004612637	f3c63c0b-e134-4df0-a965-c0891f152915
